FECHA_CORTE;UBIGEO;ANIO;DEPARTAMENTO;PROVINCIA;DISTRITO;REGION_NATURAL;TIPO_MUNICIPALIDAD;POB_TOTAL_INEI;POB_URBANA_INEI;POB_RURAL_INEI;CLASIFICACION_MUNICIPAL_MEF;GENERACION_PER_CAPITA_DOM;GENERACION_DOM_URBANA_TDIA;GENERACION_DOM URBANA_TANIO;GENERACION_MUN_TANIO;GENERACION_MUN_TDIA;GENERACION_PER_CAPITA_MUNICIPAL
20240410;131101;2021;LA LIBERTAD;GRAN CHIMU;CASCAS;COSTA;PROVINCIAL;14358;4376;9982;B;0.44;1.93;702.79;1003.98;2.75;0.63
20240410;131102;2021;LA LIBERTAD;GRAN CHIMU;LUCMA;SIERRA;DISTRITAL;4839;539;4300;G;0.49;0.26;96.40;137.71;0.38;0.70
20240410;131103;2021;LA LIBERTAD;GRAN CHIMU;MARMOT ;SIERRA;DISTRITAL;2573;491;2082;G;0.44;0.22;78.85;112.65;0.31;0.63
20240410;131104;2021;LA LIBERTAD;GRAN CHIMU;SAYAPULLO;SIERRA;DISTRITAL;6470;1499;4971;G;0.44;0.66;240.74;343.91;0.94;0.63
20240410;131201;2021;LA LIBERTAD;VIRU;VIRU;COSTA;PROVINCIAL;59275;45054;14221;A;0.51;23.00;8394.05;11991.49;32.85;0.73
20240410;131202;2021;LA LIBERTAD;VIRU;CHAO;COSTA;DISTRITAL;40535;33766;6769;E;0.51;17.24;6290.97;8987.10;24.62;0.73
20240410;131203;2021;LA LIBERTAD;VIRU;GUADALUPITO;COSTA;DISTRITAL;7780;7420;360;E;0.45;3.34;1218.74;1741.05;4.77;0.64
20240410;140101;2021;LAMBAYEQUE;CHICLAYO;CHICLAYO;COSTA;PROVINCIAL;291138;290825;313;A;0.54;157.05;57321.61;81888.01;224.35;0.77
20240410;140102;2021;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;COSTA;DISTRITAL;19821;16761;3060;E;0.54;9.05;3303.59;4719.42;12.93;0.77
20240410;140103;2021;LAMBAYEQUE;CHICLAYO;ETEN;COSTA;DISTRITAL;13345;13037;308;E;0.78;10.17;3711.63;5302.33;14.53;1.11
20240410;140104;2021;LAMBAYEQUE;CHICLAYO;ETEN PUERTO;COSTA;DISTRITAL;2459;2459;0;E;0.58;1.43;520.57;743.67;2.04;0.83
20240410;140105;2021;LAMBAYEQUE;CHICLAYO;JOSE LEONARDO ORTIZ;COSTA;DISTRITAL;166266;166266;0;D;0.80;133.01;48549.67;69356.67;190.02;1.14
20240410;140106;2021;LAMBAYEQUE;CHICLAYO;LA VICTORIA;COSTA;DISTRITAL;100033;94251;5782;D;0.68;64.09;23393.10;33418.71;91.56;0.97
20240410;140107;2021;LAMBAYEQUE;CHICLAYO;LAGUNAS;COSTA;DISTRITAL;10964;9007;1957;E;0.49;4.40;1605.25;2293.22;6.28;0.70
20240410;140108;2021;LAMBAYEQUE;CHICLAYO;MONSEFU;COSTA;DISTRITAL;35797;26145;9652;D;0.57;14.90;5439.47;7770.67;21.29;0.81
20240410;140109;2021;LAMBAYEQUE;CHICLAYO;NUEVA ARICA;COSTA;DISTRITAL;2552;2267;285;E;0.59;1.34;488.20;697.43;1.91;0.84
20240410;140110;2021;LAMBAYEQUE;CHICLAYO;OYOTUN;COSTA;DISTRITAL;8311;6654;1657;E;0.43;2.86;1044.35;1491.92;4.09;0.61
20240410;140111;2021;LAMBAYEQUE;CHICLAYO;PICSI;COSTA;DISTRITAL;14893;13380;1513;E;0.74;9.90;3613.94;5162.77;14.14;1.06
20240410;140112;2021;LAMBAYEQUE;CHICLAYO;PIMENTEL;COSTA;DISTRITAL;52997;48475;4522;D;0.58;28.12;10262.16;14660.23;40.17;0.83
20240410;140113;2021;LAMBAYEQUE;CHICLAYO;REQUE;COSTA;DISTRITAL;18063;14754;3309;E;0.51;7.52;2746.46;3923.51;10.75;0.73
20240410;140114;2021;LAMBAYEQUE;CHICLAYO;SANTA ROSA;COSTA;DISTRITAL;14126;13928;198;E;0.50;6.96;2541.86;3631.23;9.95;0.71
20240410;140115;2021;LAMBAYEQUE;CHICLAYO;SAÑA;COSTA;DISTRITAL;12581;10093;2488;E;0.56;5.65;2063.01;2947.16;8.07;0.80
20240410;140116;2021;LAMBAYEQUE;CHICLAYO;CAYALTI;COSTA;DISTRITAL;15279;13794;1485;E;0.46;6.35;2316.01;3308.59;9.06;0.66
20240410;140117;2021;LAMBAYEQUE;CHICLAYO;PATAPO;COSTA;DISTRITAL;25401;21714;3687;E;0.64;13.90;5072.39;7246.27;19.85;0.91
20240410;140118;2021;LAMBAYEQUE;CHICLAYO;POMALCA;COSTA;DISTRITAL;27375;23815;3560;D;0.45;10.72;3911.61;5588.02;15.31;0.64
20240410;140119;2021;LAMBAYEQUE;CHICLAYO;PUCALA;COSTA;DISTRITAL;9046;7843;1203;E;0.61;4.78;1746.24;2494.63;6.83;0.87
20240410;140120;2021;LAMBAYEQUE;CHICLAYO;TUMAN;COSTA;DISTRITAL;29990;27862;2128;D;0.51;14.21;5186.51;7409.30;20.30;0.73
20240410;140201;2021;LAMBAYEQUE;FERREÑAFE;FERREÑAFE;COSTA;PROVINCIAL;38144;37235;909;A;0.61;22.71;8290.37;11843.39;32.45;0.87
20240410;140202;2021;LAMBAYEQUE;FERREÑAFE;CAÑARIS;SIERRA;DISTRITAL;12187;382;11805;G;0.44;0.17;61.35;87.64;0.24;0.63
20240410;140203;2021;LAMBAYEQUE;FERREÑAFE;INCAHUASI;SIERRA;DISTRITAL;15203;1608;13595;G;0.30;0.48;176.08;251.54;0.69;0.43
20240410;140204;2021;LAMBAYEQUE;FERREÑAFE;MANUEL ANTONIO MESONES MURO;COSTA;DISTRITAL;4198;1882;2316;F;0.49;0.92;335.42;479.16;1.31;0.70
20240410;140205;2021;LAMBAYEQUE;FERREÑAFE;PITIPO;COSTA;DISTRITAL;22136;8410;13726;F;0.49;4.11;1498.85;2141.22;5.87;0.70
20240410;140206;2021;LAMBAYEQUE;FERREÑAFE;PUEBLO NUEVO;COSTA;DISTRITAL;16076;15079;997;D;0.36;5.43;1981.38;2830.54;7.75;0.51
20240410;140301;2021;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;COSTA;PROVINCIAL;81867;68245;13622;A;0.50;34.12;12454.71;17792.45;48.75;0.71
20240410;140302;2021;LAMBAYEQUE;LAMBAYEQUE;CHOCHOPE;COSTA;DISTRITAL;1613;497;1116;G;0.49;0.24;88.58;126.54;0.35;0.70
20240410;140303;2021;LAMBAYEQUE;LAMBAYEQUE;ILLIMO;COSTA;DISTRITAL;9560;5318;4242;F;0.44;2.34;854.07;1220.10;3.34;0.63
20240410;140304;2021;LAMBAYEQUE;LAMBAYEQUE;JAYANCA;COSTA;DISTRITAL;20310;10560;9750;F;0.54;5.70;2081.38;2973.39;8.15;0.77
20240410;140305;2021;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;COSTA;DISTRITAL;20146;8266;11880;F;0.49;4.04;1473.19;2104.56;5.77;0.70
20240410;140306;2021;LAMBAYEQUE;LAMBAYEQUE;MORROPE;COSTA;DISTRITAL;57002;14457;42545;G;0.38;5.49;2005.19;2864.55;7.85;0.54
20240410;140307;2021;LAMBAYEQUE;LAMBAYEQUE;MOTUPE;COSTA;DISTRITAL;34752;18580;16172;F;0.20;3.72;1356.34;1937.63;5.31;0.29
20240410;140308;2021;LAMBAYEQUE;LAMBAYEQUE;OLMOS;COSTA;DISTRITAL;56552;16938;39614;G;0.58;9.82;3585.77;5122.54;14.03;0.83
20240410;140309;2021;LAMBAYEQUE;LAMBAYEQUE;PACORA;COSTA;DISTRITAL;9070;4310;4760;F;0.37;1.59;582.07;831.52;2.28;0.53
20240410;140310;2021;LAMBAYEQUE;LAMBAYEQUE;SALAS;SIERRA;DISTRITAL;13708;4511;9197;G;0.43;1.94;708.00;1011.43;2.77;0.61
20240410;140311;2021;LAMBAYEQUE;LAMBAYEQUE;SAN JOSE;COSTA;DISTRITAL;18284;16435;1849;E;0.51;8.39;3062.02;4374.31;11.98;0.73
20240410;140312;2021;LAMBAYEQUE;LAMBAYEQUE;TUCUME;COSTA;DISTRITAL;24667;10341;14326;F;0.33;3.41;1245.57;1779.39;4.88;0.47
20240410;150101;2021;LIMA ;LIMA;LIMA;LIMA Y CALLAO;PROVINCIAL;267199;267199;0;A;0.69;184.37;67294.07;96134.38;263.38;0.99
20240410;150102;2021;LIMA ;LIMA;ANCON  ;LIMA Y CALLAO;DISTRITAL;87091;87091;0;C;0.65;56.61;20662.34;29517.63;80.87;0.93
20240410;150103;2021;LIMA ;LIMA;ATE;LIMA Y CALLAO;DISTRITAL;687615;687615;0;C;0.69;474.45;173175.84;247394.05;677.79;0.99
20240410;150104;2021;LIMA ;LIMA;BARRANCO;LIMA Y CALLAO;DISTRITAL;36200;36200;0;C;0.46;16.65;6077.98;8682.83;23.79;0.66
20240410;150105;2021;LIMA ;LIMA;BREÑA;LIMA Y CALLAO;DISTRITAL;94209;94209;0;C;0.72;67.83;24758.13;35368.75;96.90;1.03
20240410;150106;2021;LIMA ;LIMA;CARABAYLLO;LIMA Y CALLAO;DISTRITAL;412234;406546;5688;C;0.68;276.45;100904.72;144149.60;394.93;0.97
