ubigeo,tipo_municipalidad,clasificacion_mef
60605,DISTRITAL,G
60606,DISTRITAL,G
60607,DISTRITAL,G
60608,DISTRITAL,G
60609,DISTRITAL,G
60610,DISTRITAL,G
60611,DISTRITAL,G
60612,DISTRITAL,G
60613,DISTRITAL,G
60614,DISTRITAL,G
60615,DISTRITAL,G
60701,PROVINCIAL,B
60702,DISTRITAL,G
60703,DISTRITAL,G
60801,PROVINCIAL,A
60802,DISTRITAL,F
60803,DISTRITAL,G
60804,DISTRITAL,G
60805,DISTRITAL,G
60806,DISTRITAL,G
60807,DISTRITAL,G
60808,DISTRITAL,F
60809,DISTRITAL,G
60810,DISTRITAL,G
60811,DISTRITAL,G
60812,DISTRITAL,G
60901,PROVINCIAL,B
60902,DISTRITAL,G
60903,DISTRITAL,G
60904,DISTRITAL,G
60905,DISTRITAL,G
60906,DISTRITAL,G
60907,DISTRITAL,G
61001,PROVINCIAL,B
61002,DISTRITAL,G
61003,DISTRITAL,F
61004,DISTRITAL,G
61005,DISTRITAL,G
61006,DISTRITAL,G
61007,DISTRITAL,G
61101,PROVINCIAL,B
61102,DISTRITAL,F
61103,DISTRITAL,G
61104,DISTRITAL,G
61105,DISTRITAL,G
61106,DISTRITAL,G
61107,DISTRITAL,G
61108,DISTRITAL,G
61109,DISTRITAL,G
61110,DISTRITAL,G
61111,DISTRITAL,G
61112,DISTRITAL,G
61113,DISTRITAL,G
61201,PROVINCIAL,B
61202,DISTRITAL,G
61203,DISTRITAL,G
61204,DISTRITAL,G
61301,PROVINCIAL,B
61302,DISTRITAL,G
61303,DISTRITAL,G
61304,DISTRITAL,G
61305,DISTRITAL,G
61306,DISTRITAL,G
61307,DISTRITAL,G
61308,DISTRITAL,G
61309,DISTRITAL,F
61310,DISTRITAL,G
61311,DISTRITAL,G
70101,PROVINCIAL,A
70102,DISTRITAL,D
70103,DISTRITAL,D
70104,DISTRITAL,D
70105,DISTRITAL,D
70106,DISTRITAL,D
70107,DISTRITAL,D
80101,PROVINCIAL,A
80102,DISTRITAL,G
80103,DISTRITAL,F
80104,DISTRITAL,D
80105,DISTRITAL,D
80106,DISTRITAL,D
80107,DISTRITAL,F
80108,DISTRITAL,D
80201,PROVINCIAL,B
